StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Trait_Anxiety_01,Trait_Anxiety_02,Trait_Anxiety_03,Trait_Anxiety_04,Trait_Anxiety_05,Trait_Anxiety_06,Trait_Anxiety_07,Trait_Anxiety_08,Trait_Anxiety_09,AttentionCheck_B,Trait_Anxiety_10,Trait_Anxiety_11,Trait_Anxiety_12,Trait_Anxiety_13,Trait_Anxiety_14,Trait_Anxiety_15,Trait_Anxiety_16,Trait_Anxiety_17,Trait_Anxiety_18,Trait_Anxiety_19,Trait_Anxiety_20,Q8,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 1. I feel pleasant.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 2. I feel nervous and restless.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 3. I feel satisfied with myself.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 4. I wish I could be as happy as others seem to be.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 5. I feel like a failure.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 6. I feel rested","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 7. I am ""calm, cool, and collected""","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 8. I feel that difficulties are piling up so that I cannot overcome them.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 9. I worry too much over something that really doesn't matter.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 9. Please select 'almost always'.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 10. I am happy.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 11. I have disturbing thoughts.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 12. I lack self-confidence.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 13. I feel secure.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 14. I make decisions easily.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 15. I feel inadequate.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 16. I am content.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 17. Some unimportant thought runs through my mind and bothers me.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 18. I take disappointments so keenly that I can't put them out of my mind.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 19. I am a steady person.","A number of statements which people have used to describe themselves are given below. Read each statement, then choose below to indicate how you feel in general. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best. - 20. I get in a state of tension or turmoil as I think over my recent concerns and interests.",Please enter your roll number here:,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""Random ID""}"
2/22/2022 11:14,2/22/2022 11:16,IP Address,202.3.77.210,100,86,TRUE,2/22/2022 11:16,R_2Cs51BtbocQSZMA,,,,,26.49690247,80.32458496,anonymous,EN,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Almost Always,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,21118262,6452592
2/22/2022 11:15,2/22/2022 11:16,IP Address,14.139.38.132,100,98,TRUE,2/22/2022 11:16,R_1Gvqw9p7oJ4Zdgk,,,,,26.49690247,80.32458496,anonymous,EN,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Almost Always,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,21111007,9951420
2/22/2022 11:16,2/22/2022 11:18,IP Address,157.35.70.7,100,137,TRUE,2/22/2022 11:18,R_3M5JkgtyIeTnVv2,,,,,25.59080505,85.13479614,anonymous,EN,Almost Always,Sometimes,Almost Always,Almost never,Sometimes,Often,Almost Always,Sometimes,Sometimes,Almost Always,Almost Always,Sometimes,Sometimes,Almost Always,Almost Always,Sometimes,Almost Always,Sometimes,Sometimes,Almost Always,Almost never,190793,9262974
2/22/2022 11:22,2/22/2022 11:24,IP Address,60.254.49.27,100,133,TRUE,2/22/2022 11:24,R_3gTJ5eYUJep6v7N,,,,,21.188797,72.82929993,anonymous,EN,Sometimes,Sometimes,Sometimes,Often,Almost never,Sometimes,Often,Often,Often,Almost Always,Sometimes,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,200352,2028442
2/22/2022 11:23,2/22/2022 11:25,IP Address,202.8.115.159,100,132,TRUE,2/22/2022 11:25,R_Zget5TFqjaJC9tD,,,,,22.51800537,88.38320923,anonymous,EN,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Almost never,Often,Sometimes,Often,Almost Always,Almost never,Sometimes,Sometimes,Almost never,Almost never,Often,Almost never,Sometimes,Often,Often,Sometimes,21111413,4436549
2/22/2022 11:40,2/22/2022 11:51,IP Address,223.223.144.87,100,681,TRUE,2/22/2022 11:51,R_afJJIR29UQGD9Zv,,,,,22.51800537,88.38320923,anonymous,EN,Sometimes,Sometimes,Often,Almost Always,Almost never,Often,Often,Sometimes,Often,Almost Always,Sometimes,Sometimes,Sometimes,Often,Often,Almost never,Often,Sometimes,Often,Often,Almost never,20111068,5314973
2/22/2022 12:15,2/22/2022 12:17,IP Address,117.220.152.67,100,149,TRUE,2/22/2022 12:17,R_1kNxL9IoVmdCXkG,,,,,26.95249939,75.710495,anonymous,EN,Often,Sometimes,Almost Always,Almost never,Almost never,Often,Almost Always,Sometimes,Sometimes,Almost Always,Often,Sometimes,Sometimes,Almost Always,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,210921,5216938
2/22/2022 12:45,2/22/2022 12:47,IP Address,14.139.38.116,100,128,TRUE,2/22/2022 12:47,R_rkkPAqbSRZxqxJD,,,,,26.49690247,80.32458496,anonymous,EN,Often,Sometimes,Often,Sometimes,Almost never,Sometimes,Often,Sometimes,Often,Almost Always,Often,Sometimes,Almost never,Often,Sometimes,Almost never,Often,Sometimes,Often,Often,Sometimes,180738,2182174
2/22/2022 14:02,2/22/2022 14:04,IP Address,14.139.38.176,100,95,TRUE,2/22/2022 14:04,R_2v8tF5tAunFtB9k,,,,,26.49690247,80.32458496,anonymous,EN,Often,Sometimes,Often,Almost never,Almost never,Sometimes,Almost Always,Almost never,Sometimes,Almost Always,Often,Almost never,Almost never,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,190103,6499221
2/22/2022 17:31,2/22/2022 17:32,IP Address,171.76.186.127,100,75,TRUE,2/22/2022 17:32,R_3NJJh27Tqiiv8vo,,,,,26.87559509,80.91149902,anonymous,EN,Often,Sometimes,Often,Almost never,Almost never,Often,Often,Almost never,Sometimes,Almost Always,Almost Always,Sometimes,Sometimes,Almost Always,Almost Always,Almost never,Often,Sometimes,Almost never,Sometimes,Sometimes,21128405,1730605
2/22/2022 18:56,2/22/2022 18:58,IP Address,157.50.30.187,100,107,TRUE,2/22/2022 18:58,R_3j6bD0cZUI5179N,,,,,12.96339417,77.58551025,anonymous,EN,Almost Always,Sometimes,Often,Almost Always,Almost never,Almost Always,Often,Almost never,Sometimes,Almost never,Almost Always,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Often,Often,Often,Sometimes,180801,1762354
2/22/2022 19:10,2/22/2022 19:11,IP Address,14.139.38.132,100,97,TRUE,2/22/2022 19:11,R_3JwR30jtOKOnLKi,,,,,26.49690247,80.32458496,anonymous,EN,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Often,Sometimes,Often,Almost Always,Sometimes,Almost never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Sometimes,21111038,3131374
2/22/2022 20:36,2/22/2022 20:37,IP Address,103.154.47.198,100,83,TRUE,2/22/2022 20:37,R_3lS6CTGlHr4gD9n,,,,,27.71420288,85.31451416,anonymous,EN,Often,Almost Always,Sometimes,Almost Always,Often,Often,Sometimes,Almost Always,Often,Almost Always,Sometimes,Almost Always,Almost Always,Often,Sometimes,Often,Sometimes,Almost Always,Often,Sometimes,Sometimes,20111012,3231753
2/22/2022 21:40,2/22/2022 21:42,IP Address,27.97.202.244,100,157,TRUE,2/22/2022 21:42,R_PtAo9GY8ecNsEYp,,,,,12.96339417,77.58551025,anonymous,EN,Often,Almost never,Almost Always,Almost never,Almost never,Sometimes,Often,Almost never,Sometimes,Almost Always,Often,Sometimes,Sometimes,Often,Often,Almost never,Often,Sometimes,Almost never,Often,Sometimes,190039,9710370
2/23/2022 2:26,2/23/2022 2:28,IP Address,117.96.163.100,100,145,TRUE,2/23/2022 2:28,R_1QgsLpKHOK6n67q,,,,,26.87559509,80.91149902,anonymous,EN,Sometimes,Often,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Almost Always,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,20118275,4064260
2/23/2022 3:13,2/23/2022 3:15,IP Address,14.139.38.175,100,83,TRUE,2/23/2022 3:15,R_b7uOwhCWextEOnD,,,,,26.49690247,80.32458496,anonymous,EN,Almost never,Often,Almost never,Often,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost Always,Almost never,Sometimes,Often,Almost never,Almost never,Often,Almost never,Sometimes,Often,Almost never,Often,190635,1691376
2/23/2022 4:07,2/23/2022 4:08,IP Address,47.15.179.253,100,79,TRUE,2/23/2022 4:08,R_1M5S21M6pLsM24j,,,,,26.87559509,80.91149902,anonymous,EN,Sometimes,Often,Almost never,Sometimes,Often,Sometimes,Sometimes,Often,Almost Always,Almost Always,Sometimes,Often,Often,Almost never,Almost never,Sometimes,Sometimes,Almost Always,Often,Sometimes,Sometimes,21111015,2946122
2/23/2022 9:33,2/23/2022 9:36,IP Address,106.200.221.78,100,126,TRUE,2/23/2022 9:36,R_1iqG5rQNkrpUhz5,,,,,12.96339417,77.58551025,anonymous,EN,Often,Almost never,Almost Always,Almost never,Almost never,Often,Often,Sometimes,Sometimes,Almost Always,Often,Sometimes,Sometimes,Almost Always,Sometimes,Sometimes,Often,Sometimes,Almost never,Often,Almost never,210744,9614919
